n_packets,FlowID,SourceAddress,DestinationAddress,TxBytes,RxBytes,TxPackets,RxPackets,start time, stop time, duration, Throughput_Mbps,OfferedLoad_Mbps
1,1,10.1.1.2,10.1.1.1,104148,103096,99,98,2.010257,99.005100,96.994843,0.008503,0.016384
1,2,10.1.1.3,10.1.1.1,104148,104148,99,99,2.023799,99.020524,96.996725,0.008590,0.016384
1,3,10.1.1.2,10.1.1.3,48,48,1,1,1.026179,1.026179,0.000000,inf,0.016384
1,4,10.1.1.2,10.1.1.1,48,48,1,1,2.018356,2.018356,0.000000,inf,0.016384
1,5,10.1.1.3,10.1.1.2,30,30,1,1,1.037437,1.037437,0.000000,inf,0.016384
2,1,10.1.1.2,10.1.1.1,208296,208296,198,198,1.009221,99.505111,98.495889,0.016918,0.032768
2,2,10.1.1.3,10.1.1.1,208296,208296,198,198,1.046117,99.520535,98.474418,0.016922,0.032768
2,3,10.1.1.2,10.1.1.3,48,48,1,1,1.025153,1.025153,0.000000,inf,0.032768
2,4,10.1.1.2,10.1.1.1,48,48,1,1,1.021070,1.021070,0.000000,inf,0.032768
2,5,10.1.1.3,10.1.1.2,30,30,1,1,1.035232,1.035232,0.000000,inf,0.032768
3,1,10.1.1.2,10.1.1.1,313496,313496,298,298,1.013393,100.005096,98.991704,0.025335,0.049152
3,2,10.1.1.3,10.1.1.1,312444,312444,297,297,1.046678,99.687194,98.640516,0.025340,0.049152
3,3,10.1.1.2,10.1.1.3,48,48,1,1,1.020615,1.020615,0.000000,inf,0.049152
3,4,10.1.1.2,10.1.1.1,48,48,1,1,1.015861,1.015861,0.000000,inf,0.049152
3,5,10.1.1.3,10.1.1.2,30,30,1,1,1.035753,1.035753,0.000000,inf,0.049152
4,1,10.1.1.2,10.1.1.1,416592,416592,396,396,1.008462,99.755103,98.746641,0.033750,0.065536
4,2,10.1.1.3,10.1.1.1,416592,416592,396,396,1.046469,99.770527,98.724058,0.033758,0.065536
4,3,10.1.1.2,10.1.1.3,96,96,2,2,1.021194,12.271078,11.249884,0.000068,0.065536
4,4,10.1.1.2,10.1.1.1,96,96,2,2,1.013071,12.272565,11.259494,0.000068,0.065536
4,5,10.1.1.3,10.1.1.2,60,60,2,2,1.035584,12.273919,11.238335,0.000043,0.065536
5,1,10.1.1.2,10.1.1.1,520740,520740,495,495,1.025235,99.805108,98.779873,0.042174,0.081920
5,2,10.1.1.3,10.1.1.1,520740,520740,495,495,1.051603,99.820532,98.768929,0.042178,0.081920
5,3,10.1.1.2,10.1.1.3,96,96,2,2,1.028468,28.219074,27.190606,0.000028,0.081920
5,4,10.1.1.2,10.1.1.1,96,96,2,2,1.026881,28.220560,27.193679,0.000028,0.081920
5,5,10.1.1.3,10.1.1.2,60,60,2,2,1.040598,28.221994,27.181396,0.000018,0.081920
6,1,10.1.1.2,10.1.1.1,624888,624888,594,594,1.011422,99.838435,98.827013,0.050584,0.098304
6,2,10.1.1.3,10.1.1.1,624888,624888,594,594,1.042557,99.853859,98.811301,0.050592,0.098304
6,3,10.1.1.2,10.1.1.3,48,48,1,1,1.024134,1.024134,0.000000,inf,0.098304
6,4,10.1.1.2,10.1.1.1,48,48,1,1,1.016071,1.016071,0.000000,inf,0.098304
6,5,10.1.1.3,10.1.1.2,30,30,1,1,1.031433,1.031433,0.000000,inf,0.098304
7,1,10.1.1.2,10.1.1.1,729036,729036,693,693,1.008241,99.862252,98.854011,0.058999,0.114688
7,2,10.1.1.3,10.1.1.1,729036,729036,693,693,1.049377,99.877676,98.828300,0.059014,0.114688
7,3,10.1.1.2,10.1.1.3,48,48,1,1,1.026153,1.026153,0.000000,inf,0.114688
7,4,10.1.1.2,10.1.1.1,48,48,1,1,1.020070,1.020070,0.000000,inf,0.114688
7,5,10.1.1.3,10.1.1.2,30,30,1,1,1.038312,1.038312,0.000000,inf,0.114688
8,1,10.1.1.2,10.1.1.1,833184,833184,792,792,1.009493,99.880096,98.870603,0.067416,0.131072
8,2,10.1.1.3,10.1.1.1,833184,833184,792,792,1.058579,99.895520,98.836941,0.067439,0.131072
8,3,10.1.1.2,10.1.1.3,48,48,1,1,1.032285,1.032285,0.000000,inf,0.131072
8,4,10.1.1.2,10.1.1.1,48,48,1,1,1.022061,1.022061,0.000000,inf,0.131072
8,5,10.1.1.3,10.1.1.2,30,30,1,1,1.047715,1.047715,0.000000,inf,0.131072
9,1,10.1.1.2,10.1.1.1,938384,938384,892,892,1.011293,100.005098,98.993805,0.075834,0.147456
9,2,10.1.1.3,10.1.1.1,937332,937332,891,891,1.041528,99.909415,98.867887,0.075845,0.147456
9,3,10.1.1.2,10.1.1.3,48,48,1,1,1.020165,1.020165,0.000000,inf,0.147456
9,4,10.1.1.2,10.1.1.1,48,48,1,1,1.016061,1.016061,0.000000,inf,0.147456
9,5,10.1.1.3,10.1.1.2,30,30,1,1,1.030483,1.030483,0.000000,inf,0.147456
10,1,10.1.1.2,10.1.1.1,1041480,1041480,990,990,1.007281,99.905103,98.897822,0.084247,0.163840
10,2,10.1.1.3,10.1.1.1,1041480,1041480,990,990,1.048417,99.920527,98.872111,0.084269,0.163840
10,3,10.1.1.2,10.1.1.3,48,48,1,1,1.026193,1.026193,0.000000,inf,0.163840
10,4,10.1.1.2,10.1.1.1,48,48,1,1,1.022070,1.022070,0.000000,inf,0.163840
