n_packets,FlowID,SourceAddress,DestinationAddress,TxBytes,RxBytes,TxPackets,RxPackets,start time, stop time, duration, Throughput_Mbps,OfferedLoad_Mbps,QueueLen_pkts,MeanDelay_ms
1,1,10.1.1.2,10.1.1.1,19988,19988,19,19,1.013242,19.005106,17.991864,0.008888,0.008192,0.083721,5.000000
1,2,10.1.1.3,10.1.1.1,19988,19988,19,19,1.289939,19.021820,17.731881,0.009018,0.008192,0.083721,25.000000
1,3,10.1.1.2,10.1.1.3,48,48,1,1,1.272136,1.272136,0.000000,0.000000,0.008192,0.083721,11.000000
1,4,10.1.1.2,10.1.1.1,48,48,1,1,1.262073,1.262073,0.000000,0.000000,0.008192,0.083721,1.000000
1,5,10.1.1.3,10.1.1.2,30,30,1,1,1.278855,1.278855,0.000000,0.000000,0.008192,0.083721,6.000000
2,1,10.1.1.2,10.1.1.1,39976,39976,38,38,1.010322,19.505105,18.494783,0.017292,0.016384,0.172093,5.000000
2,2,10.1.1.3,10.1.1.1,39976,39976,38,38,1.048447,19.520529,18.472082,0.017313,0.016384,0.172093,11.000000
2,3,10.1.1.2,10.1.1.3,48,48,1,1,1.022954,1.022954,0.000000,0.000000,0.016384,0.172093,5.000000
2,4,10.1.1.2,10.1.1.1,48,48,1,1,1.019071,1.019071,0.000000,0.000000,0.016384,0.172093,1.000000
2,5,10.1.1.3,10.1.1.2,30,30,1,1,1.036153,1.036153,0.000000,0.000000,0.016384,0.172093,13.000000
3,1,10.1.1.2,10.1.1.1,61016,61016,58,58,1.011381,20.005104,18.993723,0.025699,0.024576,0.088372,5.000000
3,2,10.1.1.3,10.1.1.1,59964,59964,57,57,1.046637,19.687202,18.640565,0.025735,0.024576,0.088372,11.000000
3,3,10.1.1.2,10.1.1.3,48,48,1,1,1.028393,1.028393,0.000000,0.000000,0.024576,0.088372,8.000000
3,4,10.1.1.2,10.1.1.1,48,48,1,1,1.021070,1.021070,0.000000,0.000000,0.024576,0.088372,1.000000
3,5,10.1.1.3,10.1.1.2,30,30,1,1,1.035732,1.035732,0.000000,0.000000,0.024576,0.088372,7.000000
4,1,10.1.1.2,10.1.1.1,79952,79952,76,76,1.008322,19.755102,18.746780,0.034119,0.032768,0.172093,5.000000
4,2,10.1.1.3,10.1.1.1,79952,79952,76,76,1.049817,19.770526,18.720708,0.034166,0.032768,0.172093,10.000000
4,3,10.1.1.2,10.1.1.3,48,48,1,1,1.023354,1.023354,0.000000,0.000000,0.032768,0.172093,6.000000
4,4,10.1.1.2,10.1.1.1,48,48,1,1,1.018071,1.018071,0.000000,0.000000,0.032768,0.172093,1.000000
4,5,10.1.1.3,10.1.1.2,30,30,1,1,1.038673,1.038673,0.000000,0.000000,0.032768,0.172093,15.000000
5,1,10.1.1.2,10.1.1.1,99940,99940,95,95,1.011413,19.805096,18.793684,0.042542,0.040960,0.437209,5.000000
5,2,10.1.1.3,10.1.1.1,99940,99940,95,95,1.054308,19.820520,18.766212,0.042604,0.040960,0.437209,10.000000
5,3,10.1.1.2,10.1.1.3,48,48,1,1,1.030125,1.030125,0.000000,0.000000,0.040960,0.437209,11.000000
5,4,10.1.1.2,10.1.1.1,48,48,1,1,1.020061,1.020061,0.000000,0.000000,0.040960,0.437209,1.000000
5,5,10.1.1.3,10.1.1.2,30,30,1,1,1.043383,1.043383,0.000000,0.000000,0.040960,0.437209,13.000000
6,1,10.1.1.2,10.1.1.1,119928,119928,114,114,1.012344,19.838432,18.826088,0.050962,0.049152,0.000000,5.000000
6,2,10.1.1.3,10.1.1.1,119928,119928,114,114,1.045359,19.853856,18.808497,0.051010,0.049152,0.000000,10.000000
6,3,10.1.1.2,10.1.1.3,48,48,1,1,1.025836,1.025836,0.000000,0.000000,0.049152,0.000000,12.000000
6,4,10.1.1.2,10.1.1.1,48,48,1,1,1.015843,1.015843,0.000000,0.000000,0.049152,0.000000,2.000000
6,5,10.1.1.3,10.1.1.2,30,30,1,1,1.034235,1.034235,0.000000,0.000000,0.049152,0.000000,8.000000
7,1,10.1.1.2,10.1.1.1,139916,139916,133,133,1.010302,19.862238,18.851936,0.059375,0.057344,0.088372,5.000000
7,2,10.1.1.3,10.1.1.1,139916,139916,133,133,1.051287,19.877662,18.826374,0.059455,0.057344,0.088372,10.000000
7,3,10.1.1.2,10.1.1.3,48,48,1,1,1.027334,1.027334,0.000000,0.000000,0.057344,0.088372,6.000000
7,4,10.1.1.2,10.1.1.1,48,48,1,1,1.022071,1.022071,0.000000,0.000000,0.057344,0.088372,1.000000
7,5,10.1.1.3,10.1.1.2,30,30,1,1,1.039413,1.039413,0.000000,0.000000,0.057344,0.088372,12.000000
8,1,10.1.1.2,10.1.1.1,159904,159904,152,152,1.007281,19.880105,18.872824,0.067782,0.065536,0.172093,5.000000
8,2,10.1.1.3,10.1.1.1,159904,159904,152,152,1.040981,19.895529,18.854549,0.067847,0.065536,0.172093,10.000000
8,3,10.1.1.2,10.1.1.3,48,48,1,1,1.021193,1.021193,0.000000,0.000000,0.065536,0.172093,7.000000
8,4,10.1.1.2,10.1.1.1,48,48,1,1,1.015070,1.015070,0.000000,0.000000,0.065536,0.172093,1.000000
8,5,10.1.1.3,10.1.1.2,30,30,1,1,1.029836,1.029836,0.000000,0.000000,0.065536,0.172093,8.000000
9,1,10.1.1.2,10.1.1.1,180944,180944,172,172,1.012301,20.005095,18.992793,0.076216,0.073728,0.176744,5.000000
9,2,10.1.1.3,10.1.1.1,179892,179892,171,171,1.048217,19.909412,18.861195,0.076301,0.073728,0.176744,10.000000
9,3,10.1.1.2,10.1.1.3,48,48,1,1,1.021993,1.021993,0.000000,0.000000,0.073728,0.176744,8.000000
9,4,10.1.1.2,10.1.1.1,48,48,1,1,1.014950,1.014950,0.000000,0.000000,0.073728,0.176744,1.000000
9,5,10.1.1.3,10.1.1.2,30,30,1,1,1.037252,1.037252,0.000000,0.000000,0.073728,0.176744,15.000000
10,1,10.1.1.2,10.1.1.1,199880,199880,190,190,1.012462,19.905109,18.892647,0.084638,0.081920,0.000000,5.000000
10,2,10.1.1.3,10.1.1.1,199880,199880,190,190,1.042307,19.920533,18.878226,0.084703,0.081920,0.000000,10.000000
10,3,10.1.1.2,10.1.1.3,48,48,1,1,1.018874,1.018874,0.000000,0.000000,0.081920,0.000000,4.000000
10,4,10.1.1.2,10.1.1.1,48,48,1,1,1.015131,1.015131,0.000000,0.000000,0.081920,0.000000,1.000000
10,5,10.1.1.3,10.1.1.2,30,30,1,1,1.030113,1.030113,0.000000,0.000000,0.081920,0.000000,11.000000
11,1,10.1.1.2,10.1.1.1,219868,219868,209,209,1.010402,19.914200,18.903798,0.093047,0.090112,0.088372,5.000000
11,2,10.1.1.3,10.1.1.1,219868,219868,209,209,1.045897,19.929624,18.883727,0.093146,0.090112,0.088372,10.000000
11,3,10.1.1.2,10.1.1.3,48,48,1,1,1.028134,1.028134,0.000000,0.000000,0.090112,0.088372,8.000000
11,4,10.1.1.2,10.1.1.1,48,48,1,1,1.021071,1.021071,0.000000,0.000000,0.090112,0.088372,1.000000
11,5,10.1.1.3,10.1.1.2,30,30,1,1,1.034873,1.034873,0.000000,0.000000,0.090112,0.088372,6.000000
12,1,10.1.1.2,10.1.1.1,240908,240908,229,229,1.015213,20.005100,18.989887,0.101489,0.098304,0.353488,5.000000
12,2,10.1.1.3,10.1.1.1,239856,239856,228,228,1.053319,19.937197,18.883878,0.101613,0.098304,0.353488,10.000000
12,3,10.1.1.2,10.1.1.3,48,48,1,1,1.028165,1.028165,0.000000,0.000000,0.098304,0.353488,11.000000
